City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Urdoma,RU,61.75,48.54,56.03,97,100,5.12,overcast clouds
211,Imbituba,BR,-28.24,-48.67,60.1,91,62,5.88,broken clouds
212,Asau,RO,46.43,26.4,61.72,64,56,4.0,broken clouds
213,Hakkari,TR,37.58,44.17,67.17,45,1,4.85,clear sky
214,Loa Janan,ID,-0.58,117.09,89.35,57,28,2.08,scattered clouds
215,Naryan-Mar,RU,67.67,53.09,65.77,61,4,17.22,clear sky
216,Nome,US,64.5,-165.41,45.16,73,100,7.25,overcast clouds
217,Along,IN,28.17,94.77,78.01,97,97,2.42,overcast clouds
218,Ponta Do Sol,PT,32.67,-17.1,70.43,80,22,6.98,few clouds
219,Pedro Ii,BR,-4.42,-41.46,69.53,79,91,1.63,overcast clouds
220,Chabahar,IR,25.29,60.64,84.9,82,96,6.91,overcast clouds
221,Faya,SA,18.39,42.45,66.72,50,100,6.93,light rain
222,Farmington,US,36.73,-108.22,88.77,22,95,4.0,overcast clouds
223,Lerwick,GB,60.15,-1.15,55.15,94,100,8.08,overcast clouds
224,Lavrentiya,RU,65.58,-171.0,42.78,68,98,10.29,overcast clouds
225,California City,US,35.13,-117.99,95.94,18,0,18.41,clear sky
226,Geraldton,AU,-28.77,114.6,64.81,68,82,14.97,broken clouds
227,Kununurra,AU,-15.77,128.73,89.28,23,7,14.2,clear sky
228,Tigil,RU,57.8,158.67,71.51,54,68,15.39,broken clouds
229,Shelburne,CA,44.08,-80.2,79.25,77,91,5.48,overcast clouds
230,Jalpan,MX,21.23,-99.48,75.51,77,47,2.62,scattered clouds
231,Waynesboro,US,38.07,-78.89,72.09,97,0,8.05,clear sky
232,Sukumo,JP,32.93,132.73,82.69,77,96,4.07,overcast clouds
233,Kamenka,RU,51.32,42.77,58.01,75,13,6.85,few clouds
234,Grindu,RO,44.77,26.92,61.12,52,7,3.0,clear sky
235,Leh,IN,34.17,77.58,67.77,29,7,4.32,clear sky
236,Aseri,EE,59.45,26.87,59.29,69,95,19.42,overcast clouds
237,Coronel Martinez,PY,-25.75,-56.62,60.04,98,9,2.66,clear sky
238,Tolaga Bay,NZ,-38.37,178.3,58.26,98,100,7.23,overcast clouds
239,Marathon,US,44.9,-89.77,78.66,78,2,1.01,clear sky
240,Kahului,US,20.89,-156.47,80.96,67,5,12.41,clear sky
241,Kandrian,PG,-6.22,149.55,82.6,74,90,4.41,light rain
242,Cherskiy,RU,68.75,161.3,46.78,60,90,14.38,overcast clouds
243,Doka,SD,13.52,35.77,71.44,87,97,10.56,overcast clouds
244,Yelizovo,RU,53.19,158.38,62.74,77,40,15.99,scattered clouds
245,Talnakh,RU,69.49,88.4,58.21,45,97,1.21,overcast clouds
246,Rio Grande,BR,-32.03,-52.1,42.94,87,0,6.6,clear sky
247,Bethel,US,41.37,-73.41,79.65,78,69,3.31,broken clouds
248,Plettenberg Bay,ZA,-34.05,23.37,54.03,84,100,7.07,overcast clouds
249,Mar Del Plata,AR,-38.0,-57.56,46.09,75,0,12.66,light rain
250,Umtata,ZA,-31.59,28.78,48.76,87,2,2.3,clear sky
251,Tilichiki,RU,60.47,166.1,56.71,85,100,6.2,overcast clouds
252,Alofi,NU,-19.06,-169.92,80.49,65,75,21.85,broken clouds
253,Mehamn,NO,71.04,27.85,51.75,100,100,2.3,light rain
254,Pisco,PE,-13.7,-76.22,60.85,82,100,4.61,mist
255,Teterow,DE,53.78,12.57,69.91,61,93,8.3,overcast clouds
256,Manzhouli,CN,49.6,117.43,81.63,33,62,6.49,broken clouds
257,Cheney,US,47.49,-117.58,83.17,32,0,3.62,clear sky
258,Nara,JP,34.69,135.8,87.91,43,99,5.91,overcast clouds
259,Tasiilaq,GL,65.61,-37.64,37.31,89,73,5.32,broken clouds
260,Agadir,MA,30.42,-9.6,75.65,38,83,3.02,broken clouds
261,Astaneh-Ye Ashrafiyeh,IR,37.26,49.94,78.73,72,40,8.37,scattered clouds
262,Mokrousovo,RU,55.81,66.77,63.37,97,100,9.06,light rain
263,Ust-Kalmanka,RU,52.12,83.31,67.89,56,20,9.89,few clouds
264,Alice Springs,AU,-23.7,133.88,65.75,30,0,11.5,clear sky
265,Puri,IN,19.8,85.85,79.32,73,100,11.68,heavy intensity rain
266,North Bay,CA,46.32,-79.47,75.15,82,100,3.44,overcast clouds
267,Manokwari,ID,-0.87,134.08,75.78,90,100,2.68,overcast clouds
268,Formosa,AR,-26.18,-58.18,59.32,97,0,4.52,clear sky
269,Pak Phanang,TH,8.35,100.2,85.57,68,99,10.74,overcast clouds
270,Mala,PE,-12.66,-76.63,61.81,84,70,4.9,broken clouds
271,Natal,BR,-5.79,-35.21,72.25,94,0,4.61,clear sky
272,Abha,SA,18.22,42.51,66.45,56,0,0.0,clear sky
273,Osakarovka,KZ,50.56,72.57,73.49,33,86,9.8,overcast clouds
